Job Name,2023 Median Pay,Typical Entry Level Education,Number of Jobs ,Job outlook in (%),"Employment Change, 2023-33",link to data
Data Scientists,108020,B,202900,36,73100,https://www.bls.gov/ooh/math/data-scientists.htm
Management Analysts,99410,B,1018300,11,107900,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm
Financial Analysts,99890,B,404800,9,37900,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm
Computer and Information Research Scientists,145080,M,36600,26,9400,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm
Computer Systems Analysts,103800,B,527200,11,56500,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm
Database Administrators and Architects,117450,B,141900,9,13200,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm
Computer Network Architects,129840,B,177800,13,23900,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm
Market Research Analysts,74680,B,903400,8,74900,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm
Top Executives,103840,B,3944000,6,227600,https://www.bls.gov/ooh/management/top-executives.htm
Financial Managers,156100,B,837100,17,138300,https://www.bls.gov/ooh/management/financial-managers.htm